Fecha,Matrícula,Intersección,Infracción,Valor en UR,Multas
2016-12-24,AAO 8113,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-20,AAO 8591,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-22,AAO 9102,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-16,AAO 9355,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-10,AAO 9442,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-21,AAO 9515,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAO 9901,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAO 9919,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-15,AAO1522,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-16,AAO2768,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,AAO3492,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-23,AAO3755,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-13,AAP 1316,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAP 1316,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-23,AAP 1370,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-20,AAP 1559,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-20,AAP 1719,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-23,AAP 2357,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-25,AAP 2655,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-17,AAP 2681,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-22,AAP 2805,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-17,AAP 3112,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAP 3129,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-21,AAP 3232,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-21,AAP 3378,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-17,AAP 3683,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-24,AAP 3863,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-10,AAP 4173,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-11,AAP 4217,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-22,AAP 4235,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-23,AAP 4235,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,AAP 4314,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-15,AAP 4740,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-14,AAP 5194,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-17,AAP 6256,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-17,AAP 6700,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-23,AAP 6843,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-22,AAP 7308,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-22,AAP 7626,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AAP 7846,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-15,AAP 8135,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-22,AAP 8135,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-22,AAP 8543,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,AAP 8692,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-21,AAP 9353,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-16,AAP3146,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-20,AAQ 1181,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-24,AAQ 1184,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-23,AAQ 1519,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-23,AAQ 1588,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-20,AAQ 2167,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-26,AAQ 2506,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAQ 2525,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-24,AAQ 3282,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-19,AAQ 3298,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-26,AAQ 3337,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-23,AAQ 3586,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,AAQ 3822,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-22,AAQ 3972,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-14,AAQ 4136,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-16,AAQ 4469,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-11,AAQ 4617,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-16,AAQ 4819,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-24,AAQ 5027,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-15,AAQ 5032,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AAQ 5083,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-12,AAQ1461,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,AGZ 474,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-20,AHH 7892,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-21,AJX 487,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-12,AOB 262,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-13,AOE 137,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-25,AOF 1612,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-20,APK 796,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-20,APK 796,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-16,APL 336,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-21,APM 866,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-20,APS 966,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,APU 426,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-10,APY 893,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-11,APY 893,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-15,AQF 372,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-24,AQI 322,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-11,AQL 038,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-16,AQN 647,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,AQN 647,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-22,AQN 647,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-18,AQS 249,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-25,AQY 802,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-24,AQZ 633,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-19,ARC 126,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-26,ARE 1107,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-10,ARE 1135,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-13,ARE 958,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-23,ARF 107,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-13,ARH 235,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-16,ARN 2281,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-11,ARN 2441,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-20,ARN 2441,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-22,ARO 899,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-20,ARQ 817,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-24,ARQ 817,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-19,ARW 062,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-12,ARW 155,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,ARX 178,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-17,ASD 501,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-18,ASD 501,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-23,ASD 501,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-21,ASF 593,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-22,ASF 593,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-16,ASF 946,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-12,ASJ 849,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-21,ASM 310,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-22,ASM 310,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-26,ASO 828,Av. Rivera y Av. Luis Ponce,Exceso de velocidad,8,1
2016-12-11,ASO 929,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-19,ASP 167,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-17,ASR 065,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-18,ASR 350,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-21,ASS 442,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-19,ASS 971,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-18,AST 266,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-16,ASW 014,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-10,ASW 370,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-19,ASW 449,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-24,ASY 941,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-10,ATA 2186,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-17,ATC 1090,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-19,ATC 1096,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,ATC 1238,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-11,ATC 1258,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-19,ATC 1363,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-15,ATC 1376,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-21,ATC 1577,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-24,ATC 1649,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-11,ATC 1656,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-14,ATC 1661,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-22,ATC 1721,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-21,ATC 1833,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-26,ATC 1866,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-13,ATC1869,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-26,ATF 694,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-14,ATI 563,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-19,ATK 814,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-21,ATL 379,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,ATM 2186,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,ATM 4185,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-10,ATM 6176,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-24,ATM 869,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-15,ATP 1404,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-22,ATP 1404,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-22,ATP 3318,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,ATP 3765,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-17,ATP 384,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-20,ATP 4076,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-23,ATQ 298,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-20,ATS 990,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-21,ATT 111,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-16,ATT 729,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-15,ATU 1096,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-19,ATV 545,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-21,ATV 545,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-24,ATV 545,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-23,ATV 563,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-12,ATV 745,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-26,ATV 991,Av. Rivera y Av. Luis Ponce,Cruzar o girar con luz roja,5,1
2016-12-25,ATX 1522,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-13,ATX 1627,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-10,ATX 1641,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-25,ATX 1650,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-22,ATY 504,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-18,AUA 251,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-23,AUA 251,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-14,AUA 773,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-20,AUA 773,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-17,AUB 278,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-24,AUB 403,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-16,AUB 872,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-26,AUC 615,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-10,AUD 176,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,AUE 003,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,AUE 278,Bv. Artigas y Campisteguy,Exceso de velocidad,8,1
2016-12-18,AUE 369,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-21,AUE 541,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-23,AUE 541,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-13,AUE 774,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-26,AUF 196,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-12,AUF 863,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-20,AUG 268,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-22,AUG 849,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-22,AUH 333,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-17,AUH 390,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-18,AUI 483,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-17,AUI 781,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-16,AUJ 140,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-21,AUJ 897,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-24,AUJ 897,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-10,AUK 082,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-18,AUL 294,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-20,AUL 611,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-20,AUL 853,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,AUM 481,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-19,AUM 487,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-26,AUP 136,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-25,AUP 194,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-18,AUR 115,Rambla M. Gandhi y Solano Garcia,Exceso de velocidad,8,1
2016-12-13,AUR 509,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-21,AUT 164,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-20,AUT 982,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-22,AUU 075,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-23,AUU 075,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-16,AUV 166,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-24,AUV 488,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-12,AUV 565,Bv. Artigas y Pedernal,Cruzar o girar con luz roja,5,1
2016-12-16,AUV 924,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-12,AUW 410,Av. Gral Flores y D. Aramburu,Cruzar o girar con luz roja,5,1
2016-12-18,AUW 790,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-24,AUW 872,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-17,AUX 016,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-20,AUX 179,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-25,AUX 713,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-19,AUY 470,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-24,AUY 610,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-24,AUY 610,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-21,AUY 886,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-20,AUZ 026,Av. Italia y Lido,Exceso de velocidad,8,1
2016-12-21,AUZ 452,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-23,AUZ 801,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-19,AUZ 847,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-19,AUZ 847,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-19,Av.G 614,Bv. Artigas y Pedernal,Exceso de velocidad,8,1
2016-12-14,Av.G 831,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-20,Av.H 200,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-21,Av.H 200,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,Av.H 3116,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-14,Av.H 3414,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-14,Av.H 3586,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-12,Av.H 4527,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-17,Av.H 5310,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-17,Av.H 5419,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-20,Av.H 5888,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-17,Av.H 6956,Av. Rivera y Av. Luis Ponce,Exceso de velocidad,8,1
2016-12-24,Av.H 8249,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-21,AWM 6906,R Rep De Mexico y Costa Rica,Exceso de velocidad,8,1
2016-12-21,AWM 6906,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,B 107643,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-24,B 109018,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-18,B 119026,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,B 120346,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-12,B 125644,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-23,B 126569,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-26,B 126569,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-22,B 126579,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-24,B 132499,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-22,B 132604,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-26,B 133716,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-22,B 135247,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-14,B 135608,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-26,B 135608,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-24,B 136955,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-18,B 138279,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-22,B 139454,R Rep Argentina y Carlos M Morales,Cruzar o girar con luz roja,5,1
2016-12-20,B 139791,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-24,B 140343,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-19,B 140418,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-19,B 141109,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-18,B 141744,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-22,B 142072,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,B 142493,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-15,B 142525,R Rep Del Peru y L A De Herrera,Cruzar o girar con luz roja,5,1
2016-12-10,B 142966,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-11,B 143007,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-13,B 144109,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-19,B 144130,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-11,B 145834,Rambla M. Gandhi y Solano Garcia,Cruzar o girar con luz roja,5,1
2016-12-14,B 146402,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-16,B 146710,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-26,B 146710,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-17,B 146809,Av. Italia y Mataojo,Cruzar o girar con luz roja,5,1
2016-12-16,B 16979,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-21,B 207583,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-17,B 211208,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-19,B 302474,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-22,B 303204,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-11,B 400915,Bv. Artigas y 21 De Setiembre,Cruzar o girar con luz roja,5,1
2016-12-23,B 401280,Bv. Artigas y 21 De Setiembre,Exceso de velocidad,8,1
2016-12-25,B 501182,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,B 504842,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-16,B 505412,L A De Herrera y Av. Rivera,Cruzar o girar con luz roja,5,1
2016-12-21,B 509077,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-22,B 510154,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-19,B 512613,Av. Italia y Francisco Simón,Exceso de velocidad,8,1
2016-12-12,B 515118,R Rep De Mexico y Costa Rica,Cruzar o girar con luz roja,5,1
2016-12-24,B 517458,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-15,B 521315,Av. Gral Flores y D. Aramburu,Exceso de velocidad,8,1
2016-12-25,B 523706,Av. Italia y Mataojo,Exceso de velocidad,8,1
2016-12-10,B 527229,Av. Italia y Francisco Simón,Cruzar o girar con luz roja,5,1
2016-12-21,B 527672,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-18,B 528799,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
2016-12-18,B 530748,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-19,B 532422,R Rep Del Peru y L A De Herrera,Exceso de velocidad,8,1
2016-12-16,B 532750,R Rep Argentina y Carlos M Morales,Exceso de velocidad,8,1
2016-12-26,B 538163,Av. Rivera y Maria Espinola,Exceso de velocidad,8,1
2016-12-23,B 541839,Rambla Ohiggins y 18 De Diciembre,Exceso de velocidad,8,1
2016-12-16,B 542070,Bv. Artigas y Campisteguy,Cruzar o girar con luz roja,5,1
