Jugador,País,Continente,Equipo,País del Equipo,Continente del Equipo,¿Mismo país?,¿Mismo continente?,¿Otro país?,¿Otro continente?
Loic REMY,FRA,Europa,Newcastle United FC (ENG),ENG,Europa,No,Si,Si,No
Laurent KOSCIELNY,FRA,Europa,Arsenal FC (ENG),ENG,Europa,No,Si,Si,No
Morgan SCHNEIDERLIN,FRA,Europa,Southampton FC (ENG),ENG,Europa,No,Si,Si,No
Mickael LANDREAU,FRA,Europa,SC Bastia (FRA),FRA,Europa,Si,Si,No,No
Manuel NEUER,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Kevin GROSSKREUTZ,GER,Europa,Borussia Dortmund (GER),GER,Europa,Si,Si,No,No
Benedikt HOEWEDES,GER,Europa,FC Schalke 04 (GER),GER,Europa,Si,Si,No,No
Mats HUMMELS,GER,Europa,Borussia Dortmund (GER),GER,Europa,Si,Si,No,No
Matthias GINTER,GER,Europa,SC Freiburg (GER),GER,Europa,Si,Si,No,No
Sami KHEDIRA,GER,Europa,Real Madrid CF (ESP),ESP,Europa,No,Si,Si,No
Bastian SCHWEINSTEIGER,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Mesut OEZIL,GER,Europa,Arsenal FC (ENG),ENG,Europa,No,Si,Si,No
Andre SCHUERRLE,GER,Europa,Chelsea FC (ENG),ENG,Europa,No,Si,Si,No
Lukas PODOLSKI,GER,Europa,Arsenal FC (ENG),ENG,Europa,No,Si,Si,No
Miroslav KLOSE,GER,Europa,SS Lazio (ITA),ITA,Europa,No,Si,Si,No
Ron-Robert ZIELER,GER,Europa,Hannover 96 (GER),GER,Europa,Si,Si,No,No
Thomas MUELLER,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Julian DRAXLER,GER,Europa,FC Schalke 04 (GER),GER,Europa,Si,Si,No,No
Erik DURM,GER,Europa,Borussia Dortmund (GER),GER,Europa,Si,Si,No,No
Philipp LAHM,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Per MERTESACKER,GER,Europa,Arsenal FC (ENG),ENG,Europa,No,Si,Si,No
Toni KROOS,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Mario GOETZE,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Jerome BOATENG,GER,Europa,FC Bayern Muenchen (GER),GER,Europa,Si,Si,No,No
Shkodran MUSTAFI,GER,Europa,UC Sampdoria (ITA),ITA,Europa,No,Si,Si,No
Roman WEIDENFELLER,GER,Europa,Borussia Dortmund (GER),GER,Europa,Si,Si,No,No
Christoph KRAMER,GER,Europa,Borussia Moenchengladbach (GER),GER,Europa,Si,Si,No,No
Stephen ADAMS,GHA,África,Aduana Stars (GHA),GHA,África,Si,Si,No,No
Samuel INKOOM,GHA,África,FC Platanias (GRE),GRE,Europa,No,No,Si,Si
Asamoah GYAN,GHA,África,Al Ain FC (UAE),UAE,Asia,No,No,Si,Si
Daniel OPARE,GHA,África,Standard Liege (BEL),BEL,Europa,No,No,Si,Si
Michael ESSIEN,GHA,África,AC Milan (ITA),ITA,Europa,No,No,Si,Si
Acquah AFRIYIE,GHA,África,Parma FC (ITA),ITA,Europa,No,No,Si,Si
Christian ATSU,GHA,África,Vitesse Arnheim (NED),NED,Europa,No,No,Si,Si
Emmanuel BADU,GHA,África,Udinese Calcio (ITA),ITA,Europa,No,No,Si,Si
Kevin Prince BOATENG,GHA,África,FC Schalke 04 (GER),GER,Europa,No,No,Si,Si
Andre AYEW,GHA,África,Olympique Marseille (FRA),FRA,Europa,No,No,Si,Si
Sulley MUNTARI,GHA,África,AC Milan (ITA),ITA,Europa,No,No,Si,Si
Adam KWARASEY,GHA,África,Stromsgodset IF (NOR),NOR,Europa,No,No,Si,Si
Jordan AYEW,GHA,África,FC Sochaux-Montbéliard (FRA),FRA,Europa,No,No,Si,Si
Albert ADOMAH,GHA,África,Middlesbrough FC (ENG),ENG,Europa,No,No,Si,Si
Rashid SUMAILA,GHA,África,Mamelodi Sundowns FC (RSA),RSA,África,No,Si,Si,No
Fatawu DAUDA,GHA,África,Orlando Pirates (RSA),RSA,África,No,Si,Si,No
Mohammed RABIU,GHA,África,Kuban Krasnodar (RUS),RUS,Europa,No,No,Si,Si
Majeed WARIS,GHA,África,Valenciennes FC (FRA),FRA,Europa,No,No,Si,Si
Jonathan MENSAH,GHA,África,Evian TG FC (FRA),FRA,Europa,No,No,Si,Si
Kwadwo ASAMOAH,GHA,África,Juventus FC (ITA),ITA,Europa,No,No,Si,Si
John BOYE,GHA,África,Stade Rennais FC (FRA),FRA,Europa,No,No,Si,Si
Mubarak WAKASO,GHA,África,FC Rubin Kazan (RUS),RUS,Europa,No,No,Si,Si
Harrison AFFUL,GHA,África,Esperance Sportive de Tunis (TUN),TUN,África,No,Si,Si,No
Joe HART,ENG,Europa,Manchester City FC (ENG),ENG,Europa,Si,Si,No,No
Glen JOHNSON,ENG,Europa,Liverpool FC (ENG),ENG,Europa,Si,Si,No,No
Leighton BAINES,ENG,Europa,Everton FC (ENG),ENG,Europa,Si,Si,No,No
Steven GERRARD,ENG,Europa,Liverpool FC (ENG),ENG,Europa,Si,Si,No,No
Gary CAHILL,ENG,Europa,Chelsea FC (ENG),ENG,Europa,Si,Si,No,No
Phil JAGIELKA,ENG,Europa,Everton FC (ENG),ENG,Europa,Si,Si,No,No
Jack WILSHERE,ENG,Europa,Arsenal FC (ENG),ENG,Europa,Si,Si,No,No
Frank LAMPARD,ENG,Europa,Chelsea FC (ENG),ENG,Europa,Si,Si,No,No
Daniel STURRIDGE,ENG,Europa,Liverpool FC (ENG),ENG,Europa,Si,Si,No,No
Wayne ROONEY,ENG,Europa,Manchester United FC (ENG),ENG,Europa,Si,Si,No,No
Danny WELBECK,ENG,Europa,Manchester United FC (ENG),ENG,Europa,Si,Si,No,No
Chris SMALLING,ENG,Europa,Manchester United FC (ENG),ENG,Europa,Si,Si,No,No
Ben FOSTER,ENG,Europa,West Bromwich Albion FC (ENG),ENG,Europa,Si,Si,No,No
Jordan HENDERSON,ENG,Europa,Liverpool FC (ENG),ENG,Europa,Si,Si,No,No
Alex OXLADE CHAMBERLAIN,ENG,Europa,Arsenal FC (ENG),ENG,Europa,Si,Si,No,No
Phil JONES,ENG,Europa,Manchester United FC (ENG),ENG,Europa,Si,Si,No,No
James MILNER,ENG,Europa,Manchester City FC (ENG),ENG,Europa,Si,Si,No,No
Rickie LAMBERT,ENG,Europa,Southampton FC (ENG),ENG,Europa,Si,Si,No,No
Raheem STERLING,ENG,Europa,Liverpool FC (ENG),ENG,Europa,Si,Si,No,No
Adam LALLANA,ENG,Europa,Southampton FC (ENG),ENG,Europa,Si,Si,No,No
Ross BARKLEY,ENG,Europa,Everton FC (ENG),ENG,Europa,Si,Si,No,No
Fraser FORSTER,ENG,Europa,Celtic FC (SCO),SCO,Europa,No,Si,Si,No
Luke SHAW,ENG,Europa,Southampton FC (ENG),ENG,Europa,Si,Si,No,No
Luis LOPEZ,HON,América,Real Espana (HON),HON,América,Si,Si,No,No
Osman CHAVEZ,HON,América,Qingdao Jonoon FC (CHN),CHN,Asia,No,No,Si,Si
Maynor FIGUEROA,HON,América,Hull City FC (ENG),ENG,Europa,No,No,Si,Si
Juan MONTES,HON,América,CD Motagua (HON),HON,América,Si,Si,No,No
Victor BERNARDEZ,HON,América,San Jose Earthquakes (USA),USA,América,No,Si,Si,No
Juan Carlos GARCIA,HON,América,Wigan Athletic FC (ENG),ENG,Europa,No,No,Si,Si
Emilio IZAGUIRRE,HON,América,Celtic FC (SCO),SCO,Europa,No,No,Si,Si
Wilson PALACIOS,HON,América,Stoke City FC (ENG),ENG,Europa,No,No,Si,Si
Jerry PALACIOS,HON,América,LD Alajuelense (CRC),CRC,América,No,Si,Si,No
Mario MARTINEZ,HON,América,Real Espana (HON),HON,América,Si,Si,No,No
Jerry BENGTSON,HON,América,New England Revolution (USA),USA,América,No,Si,Si,No
Edder DELGADO,HON,América,Real Espana (HON),HON,América,Si,Si,No,No
Carlo COSTLY,HON,América,Real Espana (HON),HON,América,Si,Si,No,No
Boniek GARCIA,HON,América,Houston Dynamo (USA),USA,América,No,Si,Si,No
Roger ESPINOZA,HON,América,Wigan Athletic FC (ENG),ENG,Europa,No,No,Si,Si
Rony MARTINEZ,HON,América,CD Real Sociedad (HON),HON,América,Si,Si,No,No
Andy NAJAR,HON,América,RSC Anderlecht (BEL),BEL,Europa,No,No,Si,Si
Noel VALLADARES,HON,América,CD Olimpia (HON),HON,América,Si,Si,No,No
Luis GARRIDO,HON,América,CD Olimpia (HON),HON,América,Si,Si,No,No
Jorge CLAROS,HON,América,CD Motagua (HON),HON,América,Si,Si,No,No
Brayan BECKELES,HON,América,CD Olimpia (HON),HON,América,Si,Si,No,No
Donis ESCOBER,HON,América,CD Olimpia (HON),HON,América,Si,Si,No,No
Marvin CHAVEZ,HON,América,CD Chivas USA (USA),USA,América,No,Si,Si,No
Rahman AHMADI,IRN,Asia,Sepahan FC (IRN),IRN,Asia,Si,Si,No,No
Ehsan HAJI SAFI,IRN,Asia,Sepahan FC (IRN),IRN,Asia,Si,Si,No,No
Khosro HEYDARI,IRN,Asia,Esteghlal Tehran FC (IRN),IRN,Asia,Si,Si,No,No
Jalal HOSSEINI,IRN,Asia,Perspolis FC (IRN),IRN,Asia,Si,Si,No,No
Amirhossein SADEGHI,IRN,Asia,Esteghlal Tehran FC (IRN),IRN,Asia,Si,Si,No,No
Javad NEKOUNAM,IRN,Asia,Kuwait SC (KUW),KUW,Asia,No,Si,Si,No
Masoud SHOJAEI,IRN,Asia,UD Las Palmas (ESP),ESP,Europa,No,No,Si,Si
Reza HAGHIGHI,IRN,Asia,Perspolis FC (IRN),IRN,Asia,Si,Si,No,No
Alireza JAHAN BAKHSH,IRN,Asia,NEC Nijmegen (NED),NED,Europa,No,No,Si,Si
Karim ANSARI FARD,IRN,Asia,Tractor Sazi Tabriz FC (IRN),IRN,Asia,Si,Si,No,No
Ghasem HADADIFAR,IRN,Asia,Zob Ahan Isfahan FC (IRN),IRN,Asia,Si,Si,No,No
Alireza HAGHIGHI,IRN,Asia,Sporting Covilha (POR),POR,Europa,No,No,Si,Si
Hossein MAHINI,IRN,Asia,Perspolis FC (IRN),IRN,Asia,Si,Si,No,No
Andranik TIMOTIAN,IRN,Asia,Esteghlal Tehran FC (IRN),IRN,Asia,Si,Si,No,No
Pejman MONTAZERI,IRN,Asia,Umm Salal SC (QAT),QAT,Asia,No,Si,Si,No
Reza GHOOCHANNEJAD,IRN,Asia,Charlton Athletic FC (ENG),ENG,Europa,No,No,Si,Si
Ahmad ALNAMEH,IRN,Asia,Naft Tehran FC (IRN),IRN,Asia,Si,Si,No,No
Bakhtiar RAHMANI,IRN,Asia,Foolad Khuzestan FC (IRN),IRN,Asia,Si,Si,No,No
Hashem BEIKZADEH,IRN,Asia,Esteghlal Tehran FC (IRN),IRN,Asia,Si,Si,No,No
Steven BEITASHOUR,IRN,Asia,Vancouver Whitecaps FC (CAN),CAN,América,No,No,Si,Si
Ashkan DEJAGAH,IRN,Asia,Fulham FC (ENG),ENG,Europa,No,No,Si,Si
Daniel DAVARI,IRN,Asia,Eintracht Braunschweig (GER),GER,Europa,No,No,Si,Si
Mehrdad POOLADI,IRN,Asia,Perspolis FC (IRN),IRN,Asia,Si,Si,No,No
Gianluigi BUFFON,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Mattia DE SCIGLIO,ITA,Europa,AC Milan (ITA),ITA,Europa,Si,Si,No,No
Giorgio CHIELLINI,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Matteo DARMIAN,ITA,Europa,Torino FC (ITA),ITA,Europa,Si,Si,No,No
Thiago MOTTA,ITA,Europa,Paris Saint-Germain FC (FRA),FRA,Europa,No,Si,Si,No
Antonio CANDREVA,ITA,Europa,SS Lazio (ITA),ITA,Europa,Si,Si,No,No
Ignazio ABATE,ITA,Europa,AC Milan (ITA),ITA,Europa,Si,Si,No,No
Claudio MARCHISIO,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Mario BALOTELLI,ITA,Europa,AC Milan (ITA),ITA,Europa,Si,Si,No,No
Antonio CASSANO,ITA,Europa,Parma FC (ITA),ITA,Europa,Si,Si,No,No
Alessio CERCI,ITA,Europa,Torino FC (ITA),ITA,Europa,Si,Si,No,No
Salvatore SIRIGU,ITA,Europa,Paris Saint-Germain FC (FRA),FRA,Europa,No,Si,Si,No
Mattia PERIN,ITA,Europa,Genoa CFC (ITA),ITA,Europa,Si,Si,No,No
Alberto AQUILANI,ITA,Europa,ACF Fiorentina (ITA),ITA,Europa,Si,Si,No,No
Andrea BARZAGLI,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Daniele DE ROSSI,ITA,Europa,AS Roma (ITA),ITA,Europa,Si,Si,No,No
Ciro IMMOBILE,ITA,Europa,Torino FC (ITA),ITA,Europa,Si,Si,No,No
Marco PAROLO,ITA,Europa,Parma FC (ITA),ITA,Europa,Si,Si,No,No
Leonardo BONUCCI,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Gabriel PALETTA,ITA,Europa,Parma FC (ITA),ITA,Europa,Si,Si,No,No
Andrea PIRLO,ITA,Europa,Juventus FC (ITA),ITA,Europa,Si,Si,No,No
Lorenzo INSIGNE,ITA,Europa,SSC Napoli (ITA),ITA,Europa,Si,Si,No,No
Marco VERRATTI,ITA,Europa,Paris Saint-Germain FC (FRA),FRA,Europa,No,Si,Si,No
Orestis KARNEZIS,GRE,Europa,Granada CF (ESP),ESP,Europa,No,Si,Si,No
Georgios TZAVELAS,GRE,Europa,PAOK FC (GRE),GRE,Europa,Si,Si,No,No
Ioannis MANIATIS,GRE,Europa,Olympiacos Piraeus FC (GRE),GRE,Europa,Si,Si,No,No
Konstantinos MANOLAS,GRE,Europa,Olympiacos Piraeus FC (GRE),GRE,Europa,Si,Si,No,No
Vangelis MORAS,GRE,Europa,Hellas Verona FC (ITA),ITA,Europa,No,Si,Si,No
Alexandros TZIOLIS,GRE,Europa,Kayserispor (TUR),TUR,Europa,No,Si,Si,No
Georgios SAMARAS,GRE,Europa,Celtic FC (SCO),SCO,Europa,No,Si,Si,No
Panagiotis KONE,GRE,Europa,Bologna FC (ITA),ITA,Europa,No,Si,Si,No
Konstantinos MITROGLOU,GRE,Europa,Fulham FC (ENG),ENG,Europa,No,Si,Si,No
Georgios KARAGOUNIS,GRE,Europa,Fulham FC (ENG),ENG,Europa,No,Si,Si,No
Loukas VYNTRA,GRE,Europa,Levante UD (ESP),ESP,Europa,No,Si,Si,No
Panagiotis GLYKOS,GRE,Europa,PAOK FC (GRE),GRE,Europa,Si,Si,No,No
Stefanos KAPINO,GRE,Europa,Panathinaikos FC (GRE),GRE,Europa,Si,Si,No,No
Dimitrios SALPINGIDIS,GRE,Europa,PAOK FC (GRE),GRE,Europa,Si,Si,No,No
Lazaros CHRISTODOULOPOULOS,GRE,Europa,Bologna FC (ITA),ITA,Europa,No,Si,Si,No
Vasileios TOROSIDIS,GRE,Europa,AS Roma (ITA),ITA,Europa,No,Si,Si,No
Theofanis GEKAS,GRE,Europa,Konyaspor (TUR),TUR,Europa,No,Si,Si,No
Ioannis FETFATZIDIS,GRE,Europa,Genoa CFC (ITA),ITA,Europa,No,Si,Si,No
Sokratis PAPASTATHOPOULOS,GRE,Europa,Borussia Dortmund (GER),GER,Europa,No,Si,Si,No
Jose CHOLEVAS,GRE,Europa,Olympiacos Piraeus FC (GRE),GRE,Europa,Si,Si,No,No
Konstantinos KATSOURANIS,GRE,Europa,PAOK FC (GRE),GRE,Europa,Si,Si,No,No
Andreas SAMARIS,GRE,Europa,Olympiacos Piraeus FC (GRE),GRE,Europa,Si,Si,No,No
Panagiotis TACHTSIDIS,GRE,Europa,Torino FC (ITA),ITA,Europa,No,Si,Si,No
KIM Changsoo,KOR,Asia,Kashiwa Reysol (JPN),JPN,Asia,No,Si,Si,No
JUNG Sungryong,KOR,Asia,Suwon Bluewings FC (KOR),KOR,Asia,Si,Si,No,No
YUN Sukyoung,KOR,Asia,Queens Park Rangers FC (ENG),ENG,Europa,No,No,Si,Si
KWAK Taehwi,KOR,Asia,Al Hilal FC (KSA),KSA,Asia,No,Si,Si,No
KIM Younggwon,KOR,Asia,Guangzhou Evergrande FC (CHN),CHN,Asia,No,Si,Si,No
HWANG Seokho,KOR,Asia,Sanfrecce Hiroshima (JPN),JPN,Asia,No,Si,Si,No
KIM Bokyung,KOR,Asia,Cardiff City FC (WAL),WAL,Europa,No,No,Si,Si
HA Daesung,KOR,Asia,Beijing Guoan (CHN),CHN,Asia,No,Si,Si,No
SON Heungmin,KOR,Asia,Bayer 04 Leverkusen (GER),GER,Europa,No,No,Si,Si
PARK Chuyoung,KOR,Asia,Watford FC (ENG),ENG,Europa,No,No,Si,Si
LEE Keunho,KOR,Asia,Sangju Sangmu FC (KOR),KOR,Asia,Si,Si,No,No
LEE Yong,KOR,Asia,Ulsan Hyundai FC (KOR),KOR,Asia,Si,Si,No,No
KOO Jacheol,KOR,Asia,FSV Mainz 05 (GER),GER,Europa,No,No,Si,Si
HAN Kookyoung,KOR,Asia,Kashiwa Reysol (JPN),JPN,Asia,No,Si,Si,No
KI Sungyueng,KOR,Asia,Sunderland AFC (ENG),ENG,Europa,No,No,Si,Si
PARK Jongwoo,KOR,Asia,Guangzhou R&ampF FC (CHN),CHN,Asia,No,Si,Si,No
LEE Chungyong,KOR,Asia,Bolton Wanderers FC (ENG),ENG,Europa,No,No,Si,Si
KIM Shinwook,KOR,Asia,Ulsan Hyundai FC (KOR),KOR,Asia,Si,Si,No,No
JI Dongwon,KOR,Asia,FC Augsburg (GER),GER,Europa,No,No,Si,Si
HONG Jeongho,KOR,Asia,FC Augsburg (GER),GER,Europa,No,No,Si,Si
KIM Seunggyu,KOR,Asia,Ulsan Hyundai FC (KOR),KOR,Asia,Si,Si,No,No
PARK Jooho,KOR,Asia,FSV Mainz 05 (GER),GER,Europa,No,No,Si,Si
LEE Bumyoung,KOR,Asia,Busan IPark FC (KOR),KOR,Asia,Si,Si,No,No
Jose CORONA,MEX,América,Cruz Azul FC (MEX),MEX,América,Si,Si,No,No
Francisco RODRIGUEZ,MEX,América,Club America (MEX),MEX,América,Si,Si,No,No
Carlos SALCIDO,MEX,América,Tigres UANL (MEX),MEX,América,Si,Si,No,No
Rafael MARQUEZ,MEX,América,Club Leon (MEX),MEX,América,Si,Si,No,No
Diego REYES,MEX,América,FC Porto (POR),POR,Europa,No,No,Si,Si
Hector HERRERA,MEX,América,FC Porto (POR),POR,Europa,No,No,Si,Si
Miguel LAYUN,MEX,América,Club America (MEX),MEX,América,Si,Si,No,No
Marco FABIAN,MEX,América,Cruz Azul FC (MEX),MEX,América,Si,Si,No,No
Raul JIMENEZ,MEX,América,Club America (MEX),MEX,América,Si,Si,No,No
Giovani DOS SANTOS,MEX,América,Villarreal CF (ESP),ESP,Europa,No,No,Si,Si
Alan PULIDO,MEX,América,Tigres UANL (MEX),MEX,América,Si,Si,No,No
Alfredo TALAVERA,MEX,América,Deportivo Toluca FC (MEX),MEX,América,Si,Si,No,No
Guillermo OCHOA,MEX,América,AC Ajaccio (FRA),FRA,Europa,No,No,Si,Si
Javier HERNANDEZ,MEX,América,Manchester United FC (ENG),ENG,Europa,No,No,Si,Si
Hector MORENO,MEX,América,RCD Espanyol (ESP),ESP,Europa,No,No,Si,Si
Miguel PONCE,MEX,América,Deportivo Toluca FC (MEX),MEX,América,Si,Si,No,No
Isaac BRIZUELA,MEX,América,Deportivo Toluca FC (MEX),MEX,América,Si,Si,No,No
Andres GUARDADO,MEX,América,Bayer 04 Leverkusen (GER),GER,Europa,No,No,Si,Si
Oribe PERALTA,MEX,América,Club Santos Laguna (MEX),MEX,América,Si,Si,No,No
Javier AQUINO,MEX,América,Villarreal CF (ESP),ESP,Europa,No,No,Si,Si
Carlos PENA,MEX,América,Club Leon (MEX),MEX,América,Si,Si,No,No
Paul AGUILAR,MEX,América,Club America (MEX),MEX,América,Si,Si,No,No
Jose VAZQUEZ,MEX,América,Club Leon (MEX),MEX,América,Si,Si,No,No
Jasper CILLESSEN,NED,Europa,AFC Ajax (NED),NED,Europa,Si,Si,No,No
Stefan DE VRIJ,NED,Europa,Feyenoord Rotterdam (NED),NED,Europa,Si,Si,No,No
Ron VLAAR,NED,Europa,Aston Villa FC (ENG),ENG,Europa,No,Si,Si,No
Bruno MARTINS INDI,NED,Europa,Feyenoord Rotterdam (NED),NED,Europa,Si,Si,No,No
Daley BLIND,NED,Europa,AFC Ajax (NED),NED,Europa,Si,Si,No,No
Nigel DE JONG,NED,Europa,AC Milan (ITA),ITA,Europa,No,Si,Si,No
Daryl JANMAAT,NED,Europa,Feyenoord Rotterdam (NED),NED,Europa,Si,Si,No,No
Jonathan DE GUZMAN,NED,Europa,Swansea City AFC (WAL),WAL,Europa,No,Si,Si,No
Robin VAN PERSIE,NED,Europa,Manchester United FC (ENG),ENG,Europa,No,Si,Si,No
Arjen ROBBEN,NED,Europa,FC Bayern Muenchen (GER),GER,Europa,No,Si,Si,No
Paul VERHAEGH,NED,Europa,FC Augsburg (GER),GER,Europa,No,Si,Si,No
Terence KONGOLO,NED,Europa,Feyenoord Rotterdam (NED),NED,Europa,Si,Si,No,No
Wesley SNEIJDER,NED,Europa,Galatasaray SK (TUR),TUR,Europa,No,Si,Si,No
Joel VELTMAN,NED,Europa,AFC Ajax (NED),NED,Europa,Si,Si,No,No
Dirk KUYT,NED,Europa,Fenerbahce SK (TUR),TUR,Europa,No,Si,Si,No
Jordy CLASIE,NED,Europa,Feyenoord Rotterdam (NED),NED,Europa,Si,Si,No,No
Jeremain LENS,NED,Europa,FC Dynamo Kyiv (UKR),UKR,Europa,No,Si,Si,No
Leroy FER,NED,Europa,Norwich City FC (ENG),ENG,Europa,No,Si,Si,No
Georginio WIJNALDUM,NED,Europa,PSV Eindhoven (NED),NED,Europa,Si,Si,No,No
Klaas Jan HUNTELAAR,NED,Europa,FC Schalke 04 (GER),GER,Europa,No,Si,Si,No
Memphis DEPAY,NED,Europa,PSV Eindhoven (NED),NED,Europa,Si,Si,No,No
Michel VORM,NED,Europa,Swansea City AFC (WAL),WAL,Europa,No,Si,Si,No
Tim KRUL,NED,Europa,Newcastle United FC (ENG),ENG,Europa,No,Si,Si,No
Atsuto UCHIDA,JPN,Asia,FC Schalke 04 (GER),GER,Europa,No,No,Si,Si
Eiji KAWASHIMA,JPN,Asia,Standard Liege (BEL),BEL,Europa,No,No,Si,Si
Keisuke HONDA,JPN,Asia,AC Milan (ITA),ITA,Europa,No,No,Si,Si
Gotoku SAKAI,JPN,Asia,VfB Stuttgart (GER),GER,Europa,No,No,Si,Si
Yuto NAGATOMO,JPN,Asia,FC Internazionale (ITA),ITA,Europa,No,No,Si,Si
Masato MORISHIGE,JPN,Asia,FC Tokyo (JPN),JPN,Asia,Si,Si,No,No
Yasuhito ENDO,JPN,Asia,Gamba Osaka (JPN),JPN,Asia,Si,Si,No,No
Hiroshi KIYOTAKE,JPN,Asia,Si. FC Nuernberg (GER),GER,Europa,No,No,Si,Si
Shinji KAGAWA,JPN,Asia,Manchester United FC (ENG),ENG,Europa,No,No,Si,Si
Shinji OKAZAKI,JPN,Asia,FSV Mainz 05 (GER),GER,Europa,No,No,Si,Si
Yoichiro KAKITANI,JPN,Asia,Cerezo Osaka (JPN),JPN,Asia,Si,Si,No,No
Shusaku NISHIKAWA,JPN,Asia,Urawa Red Diamonds (JPN),JPN,Asia,Si,Si,No,No
Yoshito OKUBO,JPN,Asia,Kawasaki Frontale (JPN),JPN,Asia,Si,Si,No,No
Toshihiro AOYAMA,JPN,Asia,Sanfrecce Hiroshima (JPN),JPN,Asia,Si,Si,No,No
Yasuyuki KONNO,JPN,Asia,Gamba Osaka (JPN),JPN,Asia,Si,Si,No,No
Hotaru YAMAGUCHI,JPN,Asia,Cerezo Osaka (JPN),JPN,Asia,Si,Si,No,No
Makoto HASEBE,JPN,Asia,Si. FC Nuernberg (GER),GER,Europa,No,No,Si,Si
Yuya OSAKO,JPN,Asia,TSV 1860 Muenchen (GER),GER,Europa,No,No,Si,Si
Masahiko INOHA,JPN,Asia,Jubilo Iwata (JPN),JPN,Asia,Si,Si,No,No
Manabu SAITO,JPN,Asia,Yokohama F-Marinos (JPN),JPN,Asia,Si,Si,No,No
Hiroki SAKAI,JPN,Asia,Hannover 96 (GER),GER,Europa,No,No,Si,Si
Maya YOSHIDA,JPN,Asia,Southampton FC (ENG),ENG,Europa,No,No,Si,Si
Shuichi GONDA,JPN,Asia,FC Tokyo (JPN),JPN,Asia,Si,Si,No,No
EDUARDO,POR,Europa,Sporting Braga (POR),POR,Europa,Si,Si,No,No
Bruno ALVES,POR,Europa,Fenerbahce SK (TUR),TUR,Europa,No,Si,Si,No
PEPE,POR,Europa,Real Madrid CF (ESP),ESP,Europa,No,Si,Si,No
Miguel VELOSO,POR,Europa,FC Dynamo Kyiv (UKR),UKR,Europa,No,Si,Si,No
Fabio COENTRAO,POR,Europa,Real Madrid CF (ESP),ESP,Europa,No,Si,Si,No
WILLIAM,POR,Europa,Sporting CP (POR),POR,Europa,Si,Si,No,No
CRISTIANO RONALDO,POR,Europa,Real Madrid CF (ESP),ESP,Europa,No,Si,Si,No
Joao MOUTINHO,POR,Europa,AS Monaco (FRA),FRA,Europa,No,Si,Si,No
Hugo ALMEIDA,POR,Europa,Besiktas JK (TUR),TUR,Europa,No,Si,Si,No
EDER,POR,Europa,Sporting Braga (POR),POR,Europa,Si,Si,No,No
VIEIRINHA,POR,Europa,VfL Wolfsburg (GER),GER,Europa,No,Si,Si,No
Rui PATRICIO,POR,Europa,Sporting CP (POR),POR,Europa,Si,Si,No,No
Ricardo COSTA,POR,Europa,Valencia CF (ESP),ESP,Europa,No,Si,Si,No
Luis NETO,POR,Europa,FC Zenit St. Petersburg (RUS),RUS,Europa,No,Si,Si,No
RAFA,POR,Europa,Sporting Braga (POR),POR,Europa,Si,Si,No,No
Raul MEIRELES,POR,Europa,Fenerbahce SK (TUR),TUR,Europa,No,Si,Si,No
NANI,POR,Europa,Manchester United FC (ENG),ENG,Europa,No,Si,Si,No
VARELA,POR,Europa,FC Porto (POR),POR,Europa,Si,Si,No,No
Andre ALMEIDA,POR,Europa,SL Benfica (POR),POR,Europa,Si,Si,No,No
Ruben AMORIM,POR,Europa,SL Benfica (POR),POR,Europa,Si,Si,No,No
Joao PEREIRA,POR,Europa,Valencia CF (ESP),ESP,Europa,No,Si,Si,No
BETO,POR,Europa,Sevilla FC (ESP),ESP,Europa,No,Si,Si,No
Helder POSTIGA,POR,Europa,SS Lazio (ITA),ITA,Europa,No,Si,Si,No
Igor AKINFEEV,RUS,Europa,CSKA Moscow (RUS),RUS,Europa,Si,Si,No,No
Aleksei KOZLOV,RUS,Europa,FC Dynamo Moscow (RUS),RUS,Europa,Si,Si,No,No
Georgy SHCHENNIKOV,RUS,Europa,CSKA Moscow (RUS),RUS,Europa,Si,Si,No,No
Sergey IGNASHEVICH,RUS,Europa,CSKA Moscow (RUS),RUS,Europa,Si,Si,No,No
Andrey SEMENOV,RUS,Europa,FC Terek Grozny (RUS),RUS,Europa,Si,Si,No,No
Maksim KANUNNIKOV,RUS,Europa,FK Amkar Perm (RUS),RUS,Europa,Si,Si,No,No
Igor DENISOV,RUS,Europa,FC Dynamo Moscow (RUS),RUS,Europa,Si,Si,No,No
Denis GLUSHAKOV,RUS,Europa,FC Spartak Moscow (RUS),RUS,Europa,Si,Si,No,No
