year,competition,player,team,goals
2012,Apertura 11/12,Rodrigo Cabrera,River Plate,1
2012,Apertura 11/12,Jonathan Barboza,Liverpool,1
2012,Apertura 11/12,Federico Pintos,Defensor,1
2012,Apertura 11/12,Willinton Techera,Rampla Juniors,1
2012,Apertura 11/12,Gastón Otreras,Bella Vista,1
2012,Apertura 11/12,Héctor Foletti,Cerrito,1
2012,Apertura 11/12,Gustavo Antonio Varela,Cerro,1
2012,Apertura 11/12,Elias Ricardo Figueroa,Liverpool,1
2012,Apertura 11/12,Carlos Germán Macchi,Liverpool,1
2012,Apertura 11/12,Hernán Figueredo,Liverpool,1
2012,Apertura 11/12,Rodrigo Canosa,Cerrito,1
2012,Apertura 11/12,Mauricio Prieto,River Plate,1
2012,Apertura 11/12,Julián Lalinde,Liverpool,1
2012,Apertura 11/12,Diego Ferreira,Defensor,1
2012,Apertura 11/12,Danilo Coccaro,Rentistas,1
2012,Apertura 11/12,Sebastián Taborda,River Plate,1
2012,Apertura 11/12,Martín Cardozo,Fénix,1
2012,Apertura 11/12,Gonzalo Papa,Fénix,1
2012,Apertura 11/12,Dani Tejera,Racing,1
2012,Apertura 11/12,Oscar Javier Morales,Cerro,1
2012,Apertura 11/12,Gonzalo Aguilar,Racing,1
2012,Apertura 11/12,Gonzalo Fabián Porras,River Plate,1
2012,Apertura 11/12,Leandro Ezquerra,El Tanque Sisley,1
2012,Apertura 11/12,Luis Machado,Cerro,1
2012,Apertura 11/12,Alfredo Nicolás Guevara,Rampla Juniors,1
2012,Apertura 11/12,Emiliano Albín,Peñarol,1
2012,Apertura 11/12,Matías Porcari,Fénix,1
2012,Apertura 11/12,Matías Zunino,Danubio,1
2012,Apertura 11/12,Marcelo Andrés Martuciello,Bella Vista,1
2012,Apertura 11/12,Javier Cabrera,Wanderers,1
2012,Apertura 11/12,Nicolás Pereira,River Plate,1
2012,Apertura 11/12,Sebastián Píriz,Danubio,1
2012,Apertura 11/12,Ignacio Nicolini,Bella Vista,1
2012,Apertura 11/12,Esteban Fernando Maga,Bella Vista,1
2012,Apertura 11/12,Ramón Giambiaggi,Rentistas,1
2012,Apertura 11/12,Agustín Viana,Bella Vista,1
2012,Apertura 11/12,Omar Pérez,Cerro,1
2012,Apertura 11/12,Guzmán Pereira,Wanderers,1
2012,Apertura 11/12,Andres Rodriguez,Bella Vista,1
2012,Apertura 11/12,Alejandro Silva,Fénix,1
2012,Apertura 11/12,José Ignacio Pallas,Fénix,1
2012,Apertura 11/12,Leonardo Melazzi,Danubio,1
2012,Apertura 11/12,Paul Dzeruvs,Rampla Juniors,1
2012,Apertura 11/12,Diego Martín Rodríguez,Defensor,1
2012,Apertura 11/12,Alejandro Damián González,Peñarol,1
2012,Apertura 11/12,Bosco Silvio Frontán,Bella Vista,1
2012,Apertura 11/12,Federico Domínguez,Wanderers,1
2012,Apertura 11/12,Wanderson Silvera,Rentistas,1
2012,Apertura 11/12,Marcelo Fabián Sosa,Racing,1
2012,Apertura 11/12,Edison Torres,Peñarol,1
2012,Clausura 11/12,Richard Aníbal Porta,Nacional,14
2012,Clausura 11/12,Diego Daniel Vera,Liverpool,13
2012,Clausura 11/12,Sebastián Taborda,River Plate,11
2012,Clausura 11/12,Rino Fabricio Lucas,Cerro Largo,11
2012,Clausura 11/12,Rodrigo Mora,Peñarol,10
2012,Clausura 11/12,Andrés Nicolás Olivera,Defensor,10
2012,Clausura 11/12,Diego Martiñones,Danubio,10
2012,Clausura 11/12,Rodrigo Pastorini,Racing,8
2012,Clausura 11/12,Marcelo Zalayeta,Peñarol,7
2012,Clausura 11/12,Mauro Guevgeozian,Fénix,7
2012,Clausura 11/12,Pablo Olivera,River Plate,6
2012,Clausura 11/12,Gonzalo Mastrianni,Cerro,6
2012,Clausura 11/12,Fabián Estoyanoff,Peñarol,6
2012,Clausura 11/12,Luís Bernardo Aguiar,Peñarol,6
2012,Clausura 11/12,Antonio Pacheco,Wanderers,5
2012,Clausura 11/12,Carlos Nuñez,Liverpool,5
2012,Clausura 11/12,Sergio Rubén Blanco,Wanderers,5
2012,Clausura 11/12,Sebastián Sosa,Cerro Largo,5
2012,Clausura 11/12,Richard Mercado Corozo,Wanderers,5
2012,Clausura 11/12,Nelson Martín Crossa,Racing,4
2012,Clausura 11/12,Federico Pintos,Defensor,4
2012,Clausura 11/12,Gaston Machado,El Tanque Sisley,4
2012,Clausura 11/12,Diego Ferreira,Defensor,4
2012,Clausura 11/12,Pablo Pereira,Liverpool,4
2012,Clausura 11/12,Sebastián Fernández,Danubio,4
2012,Clausura 11/12,Javier Guarino,Bella Vista,4
2012,Clausura 11/12,Federico Laens,Bella Vista,4
2012,Clausura 11/12,Maximiliano Brito,Rampla Juniors,4
2012,Clausura 11/12,Héctor Fabián Acuña,Cerrito,4
2012,Clausura 11/12,Richard Núñez,Rampla Juniors,4
2012,Clausura 11/12,Miguel Murillo,El Tanque Sisley,3
2012,Clausura 11/12,José Pablo Varela,Bella Vista,3
2012,Clausura 11/12,Aníbal Hernández,Racing,3
2012,Clausura 11/12,Matías Vecino,Nacional,3
2012,Clausura 11/12,José Ignacio Pallas,Fénix,3
2012,Clausura 11/12,Maximiliano Pérez,Peñarol,3
2012,Clausura 11/12,Matías Cabrera,Nacional,3
2012,Clausura 11/12,Alexis Rolín,Nacional,3
2012,Clausura 11/12,Álvaro Recoba,Nacional,3
2012,Clausura 11/12,Jonathan Sandoval,Wanderers,3
2012,Clausura 11/12,Maximiliano Rodriguez,Wanderers,3
2012,Clausura 11/12,Hernán Figueredo,Liverpool,3
2012,Clausura 11/12,Alfredo Nicolás Guevara,Cerro Largo,3
2012,Clausura 11/12,Danilo Coccaro,Rentistas,3
2012,Clausura 11/12,Marcelo Fernando Guerrero,Cerrito,3
2012,Clausura 11/12,Ignacio Risso,Defensor,3
2012,Clausura 11/12,Cecilio Waterman,Fénix,2
2012,Clausura 11/12,Gonzalo Diego Bueno,Nacional,2
2012,Clausura 11/12,Cristian Ortíz,Racing,2
2012,Clausura 11/12,Santiago López Bruzzese,Rentistas,2
2012,Clausura 11/12,Darío Rodríguez,Peñarol,2
2012,Clausura 11/12,Janderson Kione Pereira Rodrigues,River Plate,2
2012,Clausura 11/12,Luis Machado,Cerro,2
2012,Clausura 11/12,Santiago Silva,Peñarol,2
2012,Clausura 11/12,Luis Alberto Torrecilla,River Plate,2
2012,Clausura 11/12,Guillermo de los Santos,Cerro,2
2012,Clausura 11/12,Gonzalo Ramírez,El Tanque Sisley,2
2012,Clausura 11/12,Marcelo Andrés Silva,Peñarol,2
2012,Clausura 11/12,Carlos Daniel Acosta,Racing,2
2012,Clausura 11/12,Danilo Moreno Asprilla,Rampla Juniors,2
2012,Clausura 11/12,Leonardo Andrés Medina,Cerro,2
2012,Clausura 11/12,Alexander Jesús Medina,Nacional,2
2012,Clausura 11/12,Tabaré Viudez,Nacional,2
2012,Clausura 11/12,Francisco Molina,Cerrito,2
2012,Clausura 11/12,Elias Ricardo Figueroa,Liverpool,2
2012,Clausura 11/12,Maureen Franco,River Plate,2
2012,Clausura 11/12,Matías Britos,Defensor,2
2012,Clausura 11/12,Pablo Daniel Pereira,El Tanque Sisley,2
2012,Clausura 11/12,Paul Dzeruvs,Rampla Juniors,2
2012,Clausura 11/12,Juan Ramón Curbelo Garis,Wanderers,2
2012,Clausura 11/12,Marcelo Fernandez,Rentistas,2
2012,Clausura 11/12,Sergio Gonzalo Rodríguez,Wanderers,2
2012,Clausura 11/12,Adolfo Lima,Cerro Largo,2
2012,Clausura 11/12,Felipe Ely Klein,Cerro Largo,2
2012,Clausura 11/12,Juan Carlos Amado,Defensor,2
2012,Clausura 11/12,César Falletti,Cerro,1
2012,Clausura 11/12,Diego Rolán,Defensor,1
2012,Clausura 11/12,Cristián Yeladian,Danubio,1
2012,Clausura 11/12,Domínguez Federico,Racing,1
2012,Clausura 11/12,Michael Santos,River Plate,1
2012,Clausura 11/12,Gonzalo Pizzichillo,El Tanque Sisley,1
2012,Clausura 11/12,Diego Denis,Cerro,1
2012,Clausura 11/12,Ismael González,Cerrito,1
2012,Clausura 11/12,Christian Washington Nuñez,Nacional,1
2012,Clausura 11/12,Rodrigo Huerta,Cerrito,1
2012,Clausura 11/12,Cristian Mario González,River Plate,1
2012,Clausura 11/12,Marcelo Adrian Mansilla,Liverpool,1
2012,Clausura 11/12,Manuel Fernandez,Racing,1
2012,Clausura 11/12,Felipe Avenatti,River Plate,1
2012,Clausura 11/12,Matías Abisab,Bella Vista,1
2012,Clausura 11/12,Jonathan Barboza,Liverpool,1
2012,Clausura 11/12,Nelson Techera,Cerrito,1
2012,Clausura 11/12,Andrés Nicolás Freitas,Peñarol,1
2012,Clausura 11/12,Raul Echandia,Cerro Largo,1
2012,Clausura 11/12,Juan Carlos Parra,Cerrito,1
2012,Clausura 11/12,Renato César,Nacional,1
2012,Clausura 11/12,Sebastián Cristóforo,Peñarol,1
2012,Clausura 11/12,Rodrigo de Oliveira,Cerro Largo,1
2012,Clausura 11/12,Darwin Ramirez,El Tanque Sisley,1
2012,Clausura 11/12,Héctor Martín Icart Atahídes,River Plate,1
2012,Clausura 11/12,Facundo Piriz,Nacional,1
2012,Clausura 11/12,Jonathan Ramis,Fénix,1
2012,Clausura 11/12,Diego Rafael Perrone,Danubio,1
2012,Clausura 11/12,Andrés Pablo Fernández2,Danubio,1
2012,Clausura 11/12,Román Marcelo Cuello,Fénix,1
2012,Clausura 11/12,Hernan Novick,Fénix,1
2012,Clausura 11/12,Rodrigo Rojo,Rampla Juniors,1
2012,Clausura 11/12,Alejandro Silva,Fénix,1
2012,Clausura 11/12,Diego Martín Rodríguez,Defensor,1
2012,Clausura 11/12,Maximiliano Calzada,Nacional,1
2012,Clausura 11/12,Rodrigo Canosa,Rampla Juniors,1
2012,Clausura 11/12,Javier Benia,Rampla Juniors,1
2012,Clausura 11/12,Bruno Barreto González,Rampla Juniors,1
2012,Clausura 11/12,Néstor Emanuel Moiraghi,Defensor,1
2012,Clausura 11/12,Jorge Zambrana,Peñarol,1
2012,Clausura 11/12,John Varela,River Plate,1
2012,Clausura 11/12,Gastón Puerari,Defensor,1
2012,Clausura 11/12,Ismael Sandor Espiga,Rampla Juniors,1
2012,Clausura 11/12,Andrés Ravecca,Cerro,1
2012,Clausura 11/12,Rubén Carlos Planchon,Rentistas,1
2012,Clausura 11/12,Jorge Adrián García,Cerro,1
2012,Clausura 11/12,Eduardo Daniel Mieres,Cerro,1
2012,Clausura 11/12,Maximiliano Callorda,Defensor,1
2012,Clausura 11/12,Jonathan Iglesias,Rentistas,1
2012,Clausura 11/12,Sebastián Vázquez,Cerro Largo,1
2012,Clausura 11/12,Gabriel Alvez,Rampla Juniors,1
2012,Clausura 11/12,Alvaro Alejandro Mello,Danubio,1
2012,Clausura 11/12,Brahian Alemán,Defensor,1
2012,Clausura 11/12,Leonel Leonardo Pilipauskas,Bella Vista,1
2012,Clausura 11/12,Sergio Damían Santín,Bella Vista,1
2012,Clausura 11/12,Heber Collazo,Bella Vista,1
2012,Clausura 11/12,Gonzalo Curbelo,El Tanque Sisley,1
2012,Clausura 11/12,Esteban Fernando Maga,Bella Vista,1
2012,Clausura 11/12,Martín Cardozo,Fénix,1
2012,Clausura 11/12,Edison Torres,Liverpool,1
2012,Clausura 11/12,Fabrizio Ronchetti,Cerrito,1
2012,Clausura 11/12,Marcos Sebastián Aguirre,Nacional,1
2012,Clausura 11/12,Matías Telechea,Cerro Largo,1
2012,Clausura 11/12,Antonio Joaquín Boghossian,Nacional,1
2012,Clausura 11/12,Jonathan Piriz,Fénix,1
2012,Clausura 11/12,Marcelo Andrés Martuciello,Bella Vista,1
2012,Clausura 11/12,Ignacio Nicolini,Bella Vista,1
2012,Clausura 11/12,Oscar Javier Morales,Cerro,1
2012,Clausura 11/12,Bosco Silvio Frontán,Bella Vista,1
2012,Clausura 11/12,Javier Cabrera,Wanderers,1
2013,Apertura 12/13,Juan Manuel Olivera,Peñarol,13
2013,Apertura 12/13,Héctor Fabián Acuña,El Tanque Sisley,11
2013,Apertura 12/13,Mauro Guevgeozian,Fénix,10
2013,Apertura 12/13,Diego Rolán,Defensor,8
2013,Apertura 12/13,Maximiliano Rodriguez,Wanderers,8
2013,Apertura 12/13,Gabriel Leyes,River Plate,7
2013,Apertura 12/13,Fabián Estoyanoff,Peñarol,7
2013,Apertura 12/13,Gonzalo Diego Bueno,Nacional,6
2013,Apertura 12/13,Marcelo Zalayeta,Peñarol,6
2013,Apertura 12/13,Aníbal Hernández,Defensor,5
2013,Apertura 12/13,Ignacio Risso,Defensor,5
2013,Apertura 12/13,Federico Puppo,Defensor,5
2013,Apertura 12/13,Hernan Novick,Fénix,4
2013,Apertura 12/13,Rodrigo Aguirre,Liverpool,4
2013,Apertura 12/13,Álvaro Recoba,Nacional,4
2013,Apertura 12/13,Janderson Kione Pereira Rodrigues,River Plate,4
2013,Apertura 12/13,Marcos Neves,Cerro Largo,4
2013,Apertura 12/13,Néstor Fabián Canobbio,Progreso,4
2013,Apertura 12/13,Andrés Scotti,Nacional,4
2013,Apertura 12/13,Liber Daniel Quiñones,Racing,4
2013,Apertura 12/13,William Ferreira,Liverpool,4
2013,Apertura 12/13,Miguel Murillo,El Tanque Sisley,4
2013,Apertura 12/13,Alexander Jesús Medina,Nacional,4
2013,Apertura 12/13,Leonardo Carboni,Danubio,4
2013,Apertura 12/13,Jaime Baez,Juventud,3
2013,Apertura 12/13,Lucas Daniel Cavallini,Juventud,3
2013,Apertura 12/13,Adrián Nicolás Luna,Nacional,3
2013,Apertura 12/13,Max Rauhofer,Liverpool,3
2013,Apertura 12/13,Federico Laens,Bella Vista,3
2013,Apertura 12/13,Felipe Avenatti,River Plate,3
2013,Apertura 12/13,Luis Gorocito,Racing,3
2013,Apertura 12/13,Gustavo Javier Alles,Progreso,3
2013,Apertura 12/13,Miguel Puglia,Fénix,3
2013,Apertura 12/13,Jorge Zambrana,Peñarol,3
2013,Apertura 12/13,Paulo César Pezzolano,Liverpool,3
2013,Apertura 12/13,Rodrigo Guarteche,Progreso,3
2013,Apertura 12/13,Ronald Andrés Ramírez,Central Español,3
2013,Apertura 12/13,Richard Mercado Corozo,Wanderers,2
2013,Apertura 12/13,Matías Abisab,Bella Vista,2
2013,Apertura 12/13,Ramón Gines Arias,Defensor,2
2013,Apertura 12/13,Gonzalo Mastrianni,Cerro,2
2013,Apertura 12/13,Leandro Joaquín Rodriguez,River Plate,2
2013,Apertura 12/13,Gastón Otreras,Central Español,2
2013,Apertura 12/13,Lucas Tamareo,Liverpool,2
2013,Apertura 12/13,Guillermo de los Santos,Cerro,2
2013,Apertura 12/13,Santiago Carrera,River Plate,2
2013,Apertura 12/13,Agustín Viana,Bella Vista,2
2013,Apertura 12/13,Gonzalo Sena,Liverpool,2
2013,Apertura 12/13,Pablo Melo,Liverpool,2
2013,Apertura 12/13,Maximiliano Olivera,Wanderers,2
2013,Apertura 12/13,Marcos Otegui,Cerro Largo,2
2013,Apertura 12/13,Gaston Machado,Cerro Largo,2
2013,Apertura 12/13,Néstor Fabián Silva,Racing,2
2013,Apertura 12/13,Diego Martín Rodríguez,Defensor,2
2013,Apertura 12/13,Yoel Burgueño,Cerro Largo,2
2013,Apertura 12/13,Guilherme Soares Guedes de Freitas,Wanderers,2
2013,Apertura 12/13,Álvaro Pintos,Cerro,2
2013,Apertura 12/13,Gonzalo Perez,Danubio,2
2013,Apertura 12/13,Carlos Fabián Canobbio,Progreso,2
2013,Apertura 12/13,Emilio Zeballos Gutiérrez,Defensor,2
2013,Apertura 12/13,Agustin Gutierrez,Racing,2
2013,Apertura 12/13,Alejandro Mello,El Tanque Sisley,2
2013,Apertura 12/13,Renato César,Nacional,2
2013,Apertura 12/13,Damián Macaluso,Peñarol,1
2013,Apertura 12/13,Rafael García,Fénix,1
2013,Apertura 12/13,Manuel Fernandez,Racing,1
2013,Apertura 12/13,Lucas Lencina,Wanderers,1
2013,Apertura 12/13,Gonzalo Freitas,Bella Vista,1
2013,Apertura 12/13,Carlos García,Racing,1
2013,Apertura 12/13,Matias Santos,Wanderers,1
2013,Apertura 12/13,César Falletti,Cerro,1
2013,Apertura 12/13,Maximiliano Rodríguez,Wanderers,1
2013,Apertura 12/13,Rodrigo de Olivera,Danubio,1
2013,Apertura 12/13,Gonzalo Gutierrez,Bella Vista,1
2013,Apertura 12/13,Octavio Rivero,Central Español,1
2013,Apertura 12/13,Miguel Puglia,Fénix,1
2013,Apertura 12/13,Heber Collazo,Juventud,1
2013,Apertura 12/13,Gaston Rodriguez,Wanderers,1
2013,Apertura 12/13,Fabricio Formiliano,Danubio,1
2013,Apertura 12/13,Walter Fernandez,Progreso,1
2013,Apertura 12/13,Pablo Álvarez,Nacional,1
2013,Apertura 12/13,Gaston Poncet,Juventud,1
2013,Apertura 12/13,Hugo Soria,Danubio,1
2013,Apertura 12/13,Cristian Tabo,Racing,1
2013,Apertura 12/13,Cristian Mario González,River Plate,1
2013,Apertura 12/13,Santiago Correa,Central Español,1
2013,Apertura 12/13,Juan Fagúndez,El Tanque Sisley,1
2013,Apertura 12/13,Daniel Leites,Cerro Largo,1
2013,Apertura 12/13,Matias Appelt,Progreso,1
2013,Apertura 12/13,Fabian Dorado,Cerro,1
2013,Apertura 12/13,Nicolás Gard,Progreso,1
2013,Apertura 12/13,Mauricio Alonso,Cerro,1
2013,Apertura 12/13,Juan Manuel Ortiz,Fénix,1
2013,Apertura 12/13,Simón Pagua,Cerro,1
2013,Apertura 12/13,Danilo Javier Peinado,Bella Vista,1
2013,Apertura 12/13,Jorge Adrián García,Cerro,1
2013,Apertura 12/13,Álvaro Damián Navarro,Defensor,1
2013,Apertura 12/13,Eduardo Daniel Mieres,Cerro,1
2013,Apertura 12/13,Álvaro Maximiliano Arias,Liverpool,1
2013,Apertura 12/13,Robert Herrera,Defensor,1
2013,Apertura 12/13,Juan José Blanco,Cerro Largo,1
2013,Apertura 12/13,William Klingender,Central Español,1
2013,Apertura 12/13,Sebastián Taborda,Nacional,1
2013,Apertura 12/13,Alejandro Clever Reyes,Juventud,1
2013,Apertura 12/13,Camilo Mayada,Danubio,1
2013,Apertura 12/13,Gonzalo Papa,Fénix,1
2013,Apertura 12/13,Pablo Caballero,Cerro,1
2013,Apertura 12/13,Fabian Trujillo,Cerro,1
2013,Apertura 12/13,Christian Washington Nuñez,Nacional,1
2013,Apertura 12/13,Víctor Martín Galain Pecora,El Tanque Sisley,1
2013,Apertura 12/13,Gonzalo Aguilar,Racing,1
2013,Apertura 12/13,Claudio Martín Dadomo,River Plate,1
2013,Apertura 12/13,Antonio Pacheco,Peñarol,1
2013,Apertura 12/13,Franco Ariel Sosa,Cerro Largo,1
2013,Apertura 12/13,Miguel Márquez,Juventud,1
2013,Apertura 12/13,Maximiliano Lombardi,Progreso,1
2013,Apertura 12/13,Marcelo Broli,Juventud,1
2013,Apertura 12/13,Darío Rodríguez,Peñarol,1
2013,Apertura 12/13,José Ignacio Pallas,Fénix,1
2013,Apertura 12/13,Sebastian Gaitan,Progreso,1
2013,Apertura 12/13,Leonel Leonardo Pilipauskas,Bella Vista,1
2013,Apertura 12/13,Nicolás Albarracin,Wanderers,1
2013,Apertura 12/13,Marcelo Andrés Martuciello,Bella Vista,1
2013,Apertura 12/13,Alvaro Alejandro Mello,El Tanque Sisley,1
2013,Apertura 12/13,Jonathan Iglesias,El Tanque Sisley,1
2013,Apertura 12/13,Sebastian Gagnebin,Wanderers,1
2013,Apertura 12/13,Facundo Guichón,Racing,1
2013,Apertura 12/13,Santiago Martinez,Wanderers,1
2013,Apertura 12/13,Gonzalo Camargo,Juventud,1
2013,Apertura 12/13,Diego Zabala,Racing,1
2013,Apertura 12/13,Christian Latorre,Juventud,1
2013,Apertura 12/13,Ángel Gabriel Cayetano,Danubio,1
2013,Apertura 12/13,Bruno Piano,El Tanque Sisley,1
2013,Apertura 12/13,Gabriel Nicolás Mezquida,Fénix,1
2013,Apertura 12/13,Matías Vecino,Nacional,1
2013,Apertura 12/13,Aureliano Torres,Peñarol,1
2013,Apertura 12/13,Rodrigo Sanguinetti,Central Español,1
2013,Apertura 12/13,Joaquín Burutarán,Central Español,1
2013,Apertura 12/13,Richard Núñez,Danubio,1
2013,Apertura 12/13,Gonzalo Sebastián Vargas,Bella Vista,1
2013,Apertura 12/13,Jonathan Sandoval,Wanderers,1
2013,Apertura 12/13,Gastón Bueno,Danubio,1
2013,Apertura 12/13,Cristian Rafael Techera,River Plate,1
2013,Apertura 12/13,Luis Eduardo Martínez,Danubio,1
2013,Apertura 12/13,Sebastían Agustín Gallegos,Peñarol,1
2013,Clausura 12/13,Juan Manuel Olivera,Peñarol,18
2013,Clausura 12/13,Liber Daniel Quiñones,Racing,15
2013,Clausura 12/13,Marcelo Zalayeta,Peñarol,15
2013,Clausura 12/13,Maximiliano Rodriguez,Wanderers,14
2013,Clausura 12/13,Fabián Estoyanoff,Peñarol,12
2013,Clausura 12/13,Felipe Avenatti,River Plate,11
2013,Clausura 12/13,Héctor Fabián Acuña,El Tanque Sisley,11
2013,Clausura 12/13,Ignacio Risso,Defensor,11
2013,Clausura 12/13,Matias Alonso,Juventud,11
2013,Clausura 12/13,Federico Laens,Bella Vista,10
2013,Clausura 12/13,Lucas Daniel Cavallini,Juventud,10
2013,Clausura 12/13,Mauro Guevgeozian,Fénix,10
2013,Clausura 12/13,Gabriel Leyes,River Plate,10
2013,Clausura 12/13,Hernan Novick,Fénix,9
2013,Clausura 12/13,Gustavo Javier Alles,Progreso,9
2013,Clausura 12/13,Néstor Fabián Canobbio,Progreso,8
2013,Clausura 12/13,Diego Rolán,Defensor,8
2013,Clausura 12/13,Paulo César Pezzolano,Liverpool,8
2013,Clausura 12/13,Rodrigo Aguirre,Liverpool,8
2013,Clausura 12/13,Leonardo Carboni,Danubio,7
2013,Clausura 12/13,Gonzalo Diego Bueno,Nacional,7
2013,Clausura 12/13,Pablo Caballero,Cerro,7
2013,Clausura 12/13,Antonio Pacheco,Peñarol,6
2013,Clausura 12/13,Ronald Andrés Ramírez,Central Español,6
2013,Clausura 12/13,Sergio William Leal,Danubio,6
2013,Clausura 12/13,Fabricio Nuñez,Cerro Largo,5
2013,Clausura 12/13,Cristian Rafael Techera,River Plate,5
2013,Clausura 12/13,Álvaro Recoba,Nacional,5
2013,Clausura 12/13,Rodrigo Guarteche,Progreso,5
2013,Clausura 12/13,Iván Daniel Alonso,Nacional,5
2013,Clausura 12/13,Alexander Jesús Medina,Nacional,5
2013,Clausura 12/13,Federico Puppo,Defensor,5
2013,Clausura 12/13,Aníbal Hernández,Defensor,5
2013,Clausura 12/13,Facundo Barceló,Liverpool,5
2013,Clausura 12/13,Cecilio Waterman,Fénix,5
2013,Clausura 12/13,Héctor Martín Icart Atahídes,Juventud,5
2013,Clausura 12/13,Marcos Neves,Cerro Largo,4
2013,Clausura 12/13,Janderson Kione Pereira Rodrigues,River Plate,4
2013,Clausura 12/13,Vicente Sánchez,Nacional,4
2013,Clausura 12/13,Miguel Murillo,El Tanque Sisley,4
2013,Clausura 12/13,César Falletti,Cerro,4
2013,Clausura 12/13,Federico Rodríguez,Wanderers,4
2013,Clausura 12/13,William Ferreira,Liverpool,4
2013,Clausura 12/13,Andrés Scotti,Nacional,4
2013,Clausura 12/13,Guillermo de los Santos,Cerro,4
2013,Clausura 12/13,Luis Gorocito,Racing,4
2013,Clausura 12/13,Bruno Montelongo,River Plate,4
2013,Clausura 12/13,Gonzalo Sena,Liverpool,4
2013,Clausura 12/13,Miguel Puglia,Fénix,3
2013,Clausura 12/13,Fabian Dorado,Cerro,3
2013,Clausura 12/13,Andrés Nicolás Olivera,Defensor,3
2013,Clausura 12/13,Maximiliano Olivera,Wanderers,3
2013,Clausura 12/13,Giorgian De Arrascaeta,Defensor,3
2013,Clausura 12/13,Santiago Carrera,River Plate,3
2013,Clausura 12/13,Jaime Baez,Juventud,3
2013,Clausura 12/13,Miguel Puglia,Fénix,3
2013,Clausura 12/13,Octavio Rivero,Central Español,3
2013,Clausura 12/13,Jorge Zambrana,Peñarol,3
2013,Clausura 12/13,Adrián Nicolás Luna,Nacional,3
2013,Clausura 12/13,Jonatan Blanes,Juventud,3
2013,Clausura 12/13,Max Rauhofer,Liverpool,3
2013,Clausura 12/13,Santiago Lamanna,El Tanque Sisley,3
2013,Clausura 12/13,Juan Fagúndez,El Tanque Sisley,3
2013,Clausura 12/13,Jorge Artigas,Central Español,3
2013,Clausura 12/13,Guilherme Soares Guedes de Freitas,Wanderers,3
2013,Clausura 12/13,Alvaro Alejandro Mello,El Tanque Sisley,3
2013,Clausura 12/13,Mauricio Alonso,Cerro,3
2013,Clausura 12/13,Renato César,Nacional,3
2013,Clausura 12/13,Maximiliano Cantera,Cerro Largo,3
2013,Clausura 12/13,Leandro Joaquín Rodriguez,River Plate,3
2013,Clausura 12/13,Matías Abisab,Bella Vista,3
2013,Clausura 12/13,Andrés Rodales,Liverpool,2
2013,Clausura 12/13,Agustin Gutierrez,Racing,2
2013,Clausura 12/13,Agustín Viana,Bella Vista,2
2013,Clausura 12/13,Alex Maximiliano Borges,Progreso,2
2013,Clausura 12/13,Ignacio Lemmo,Bella Vista,2
2013,Clausura 12/13,Jorge Adrián García,Cerro,2
2013,Clausura 12/13,Gabriel Fernandez,Cerro Largo,2
2013,Clausura 12/13,Gastón Puerari,El Tanque Sisley,2
2013,Clausura 12/13,Leonel Leonardo Pilipauskas,Bella Vista,2
2013,Clausura 12/13,Maximiliano Callorda,Defensor,2
2013,Clausura 12/13,Marcos Otegui,Cerro Largo,2
2013,Clausura 12/13,Richard Mercado Corozo,Wanderers,2
2013,Clausura 12/13,Lucas Tamareo,Liverpool,2
2013,Clausura 12/13,Gonzalo Mastrianni,Cerro,2
2013,Clausura 12/13,Cristian Mario González,River Plate,2
2013,Clausura 12/13,Robert Herrera,Defensor,2
2013,Clausura 12/13,Gastón Otreras,Central Español,2
2013,Clausura 12/13,Gonzalo Freitas,Bella Vista,2
2013,Clausura 12/13,Diego Zabala,Racing,2
2013,Clausura 12/13,Gaston Machado,Cerro Largo,2
2013,Clausura 12/13,Pablo Melo,Liverpool,2
2013,Clausura 12/13,José Maria Franco,Fénix,2
2013,Clausura 12/13,Néstor Fabián Silva,Racing,2
2013,Clausura 12/13,Santiago Martinez,Wanderers,2
2013,Clausura 12/13,Gaston Rodriguez,Wanderers,2
2013,Clausura 12/13,Ramón Gines Arias,Defensor,2
2013,Clausura 12/13,Mauricio Ruiz,Cerro Largo,2
2013,Clausura 12/13,Cristian Palacios,El Tanque Sisley,2
2013,Clausura 12/13,German Bombaci,Progreso,2
2013,Clausura 12/13,Richard Núñez,Danubio,2
2013,Clausura 12/13,Emilio Zeballos Gutiérrez,Defensor,2
2013,Clausura 12/13,Gonzalo Perez,Danubio,2
2013,Clausura 12/13,Rodrigo Sanguinetti,Central Español,2
2013,Clausura 12/13,Sergio Souza,Central Español,2
2013,Clausura 12/13,Álvaro Pintos,Cerro,2
2013,Clausura 12/13,Alvaro Peña,Bella Vista,2
2013,Clausura 12/13,Sebastián Taborda,Nacional,2
2013,Clausura 12/13,Carlos Fabián Canobbio,Progreso,2
2013,Clausura 12/13,Yoel Burgueño,Cerro Largo,2
2013,Clausura 12/13,Jonathan Sandoval,Wanderers,2
2013,Clausura 12/13,Cristian Tabo,Racing,2
2013,Clausura 12/13,Washington Sebastián Abreu,Nacional,2
2013,Clausura 12/13,Sebastían Agustín Gallegos,Peñarol,2
2013,Clausura 12/13,Diego Martín Rodríguez,Defensor,2
2013,Clausura 12/13,Alejandro Mello,El Tanque Sisley,2
2013,Clausura 12/13,Santiago Correa,Central Español,1
2013,Clausura 12/13,Damián Macaluso,Peñarol,1
